N°,Teléfono (marca/modelo),App Luz,App Sonido,Apps WiFi,Fecha,Hora,Biblioteca,Localidad,Dirección/Referencia,Tipo de espacio,Ocupación (personas),Evento inusual (S/N),Observaciones,Lux_1,Lux_2,Lux_3,Lux_promedio,dBA_1,dBA_2,dBA_3,dBA_prom,Bajada_1 (Mbps),Bajada_2 (Mbps),Bajada_3 (Mbps),Bajada_Mediana,Subida_1 (Mbps),Subida_2 (Mbps),Subida_3 (Mbps),Subida_mediana,archivo_fuente,hoja_fuente,Hora_dt,Franja,Lux_umbral,Cumple_Luz,Cumple_Ruido,Cumple_WiFi,Indice_Compuesto,Indice_Ponderado
136,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:21:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-164,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",49.0,448.0,375.0,290.6666666666667,53.4,36.7,49.7,46.6,32.9,33.5,33.2,33.2,25.1,23.72,26.18,25.1,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:21:00.000,Tarde,300,False,False,True,33.33333333333333,20.0
137,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:21:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-165,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",141.0,619.0,1310.0,690.0,47.8,40.5,49.4,45.9,23.4,24.0,23.7,23.7,7.01,6.6,7.49,7.01,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:21:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
138,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:21:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-166,Circulación,0.0,S,Conversaciones ,423.0,853.0,1046.0,774.0,42.4,47.1,38.9,42.800000000000004,35.0,35.6,35.3,35.3,8.42,7.91,8.84,8.42,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:21:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
139,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:22:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-167,Circulación,0.0,S,Conversaciones ,470.0,243.0,1294.0,669.0,53.7,54.1,45.6,51.13333333333333,29.9,30.5,30.2,30.2,9.8,9.27,10.35,9.8,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:22:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
140,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:22:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-168,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",576.0,740.0,1490.0,935.3333333333334,54.6,58.5,46.6,53.23333333333333,37.6,38.2,37.9,37.9,11.25,10.81,11.8,11.25,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:22:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
141,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:22:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-169,Circulación,1.0,N,"Ambiente tranquilo, sin eventos inusuales ",383.0,310.0,629.0,440.6666666666667,54.7,59.8,60.9,58.46666666666667,25.5,26.1,25.8,25.8,12.85,12.27,13.55,12.85,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:22:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
142,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:23:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-170,Circulación,1.0,N,"Ambiente tranquilo, sin eventos inusuales ",54.0,331.0,422.0,269.0,50.7,38.4,60.0,49.699999999999996,33.5,34.1,33.8,33.8,14.85,14.24,15.58,14.85,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:23:00.000,Tarde,300,False,False,True,33.33333333333333,20.0
143,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:23:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-171,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",505.0,788.0,1345.0,879.3333333333334,34.5,35.8,52.0,40.766666666666666,22.5,23.1,22.8,22.8,16.16,15.47,17.14,16.16,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:23:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
144,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:23:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-172,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",207.0,548.0,894.0,549.6666666666666,39.8,44.6,60.4,48.26666666666667,16.8,18.3,14.7,16.8,18.03,17.08,19.03,18.03,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:23:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
145,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:24:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-173,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",110.0,144.0,1369.0,541.0,44.6,46.7,58.7,50.0,16.4,21.5,11.8,16.4,32.59,5.69,13.0,13.0,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:24:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
146,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:24:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-174,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",190.0,621.0,755.0,522.0,45.1,49.7,47.0,47.26666666666667,14.9,19.1,12.2,14.9,21.79,6.37,3.75,6.37,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:24:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
147,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:24:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-175,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",179.0,540.0,996.0,571.6666666666666,53.7,33.2,40.8,42.56666666666667,13.4,44.4,17.4,17.4,19.31,14.24,18.32,18.32,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:24:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
148,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:25:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-176,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",39.0,276.0,1302.0,539.0,38.2,49.4,52.6,46.73333333333333,43.6,42.6,41.8,42.6,11.61,18.72,14.73,14.73,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:25:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
149,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:25:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-177,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",292.0,739.0,1572.0,867.6666666666666,49.3,57.6,45.8,50.9,14.9,30.2,36.7,30.2,27.17,18.77,9.98,18.77,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:25:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
150,"OPPO/Reno 14F
k",Lux Light Meter,Decibel X,Wifi Analyzer,2026-02-06 00:00:00.000000000,14:25:00,Biblioteca Pública Las Ferias,Engativá,Cra. 69j #73-178,Circulación,0.0,N,"Ambiente tranquilo, sin eventos inusuales ",200.0,527.0,976.0,567.6666666666666,41.7,57.5,38.2,45.800000000000004,10.7,23.4,12.9,12.9,22.65,12.91,8.32,12.91,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_Estefania Rodriguez y Natalia Granado.xlsx,Registro,2026-04-14 14:25:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
1,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,09:30:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,4.0,N,Internet publico,74.0,117.0,26.0,72.33333333333333,64.1,62.0,64.7,63.6,171.0,0.0,150.0,150.0,119.0,142.0,126.0,126.0,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 09:30:00.000,Manana,500,False,False,True,33.33333333333333,20.0
2,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,09:42:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,4.0,N,,80.0,81.0,84.0,81.66666666666667,58.1,58.4,57.5,58.0,166.01,165.81,164.38,165.81,132.96,131.64,128.98,131.64,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 09:42:00.000,Manana,500,False,False,True,33.33333333333333,20.0
3,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,09:50:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,1.0,N,,76.0,80.0,77.0,77.66666666666667,67.6,67.6,68.5,67.89999999999999,160.98,161.08,161.11,161.08,129.36,124.26,124.05,124.26,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 09:50:00.000,Manana,500,False,False,True,33.33333333333333,20.0
4,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,09:55:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,3.0,N,,84.0,87.0,87.0,86.0,69.8,68.6,69.5,69.3,160.16,160.37,161.67,160.37,122.25,123.16,121.93,122.25,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 09:55:00.000,Manana,500,False,False,True,33.33333333333333,20.0
5,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:02:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,2.0,N,,84.0,85.0,88.0,85.66666666666667,55.4,57.3,54.6,55.76666666666666,155.0,159.23,160.07,159.23,125.07,125.23,122.95,125.07,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:02:00.000,Manana,500,False,False,True,33.33333333333333,20.0
6,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:09:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,1.0,N,,85.0,88.0,87.0,86.66666666666667,63.3,62.2,62.8,62.76666666666667,155.37,153.5,155.04,155.04,119.01,119.61,119.57,119.57,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:09:00.000,Manana,500,False,False,True,33.33333333333333,20.0
7,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:17:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,7.0,N,,73.0,76.0,76.0,75.0,68.0,67.2,68.2,67.8,160.64,158.93,159.32,159.32,125.44,125.33,123.89,125.33,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:17:00.000,Manana,500,False,False,True,33.33333333333333,20.0
8,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:26:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,5.0,N,,70.0,70.0,74.0,71.33333333333333,76.3,76.5,74.3,75.7,170.22,169.28,166.15,169.28,126.99,128.46,128.03,128.03,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:26:00.000,Manana,500,False,False,True,33.33333333333333,20.0
9,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:34:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,4.0,N,,67.0,71.0,72.0,70.0,64.6,64.0,62.6,63.73333333333333,161.92,0.0,158.2,161.92,135.09,132.7,133.23,133.23,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:34:00.000,Manana,500,False,False,True,33.33333333333333,20.0
10,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:40:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,8.0,N,,73.0,72.0,74.0,73.0,72.5,72.9,71.8,72.39999999999999,163.55,162.02,165.39,163.55,132.3,136.23,134.28,134.28,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:40:00.000,Manana,500,False,False,True,33.33333333333333,20.0
11,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:45:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-60,Entrada,7.0,N,,76.0,74.0,75.0,75.0,76.2,75.3,74.0,75.16666666666667,162.13,164.22,161.72,162.13,116.8,118.76,120.45,118.76,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:45:00.000,Manana,500,False,False,True,33.33333333333333,20.0
12,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,10:50:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Sonoteca area computadores,10.0,N,-,240.0,281.0,261.0,260.6666666666667,48.2,50.2,50.7,49.70000000000001,30.9,8.42,6.44,8.42,42.9,53.1,43.3,43.3,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 10:50:00.000,Manana,500,False,False,False,0.0,0.0
13,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:00:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,14.0,N,-,465.0,465.0,464.0,464.6666666666667,44.3,44.7,43.1,44.03333333333333,22.67,22.92,23.57,22.92,72.6,69.99,71.05,71.05,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:00:00.000,Manana,500,False,False,True,33.33333333333333,20.0
14,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:07:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,14.0,N,-,458.0,459.0,462.0,459.6666666666667,49.1,51.2,51.0,50.43333333333334,19.64,17.94,20.98,19.64,67.31,68.84,68.42,68.42,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:07:00.000,Manana,500,False,False,True,33.33333333333333,20.0
15,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:15:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,9.0,N,-,463.0,462.0,461.0,462.0,43.4,40.8,41.3,41.83333333333333,24.54,25.62,23.64,24.54,71.77,70.06,67.56,70.06,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:15:00.000,Manana,500,False,False,True,33.33333333333333,20.0
16,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:23:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,8.0,N,-,464.0,461.0,459.0,461.3333333333333,51.6,50.5,50.9,51.0,34.26,35.2,37.62,35.2,84.28,83.65,81.9,83.65,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:23:00.000,Manana,500,False,False,True,33.33333333333333,20.0
17,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:31:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,11.0,N,-,461.0,458.0,457.0,458.6666666666667,45.9,46.1,49.0,47.0,32.7,36.02,32.53,32.7,71.91,70.82,69.74,70.82,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:31:00.000,Manana,500,False,False,True,33.33333333333333,20.0
18,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:39:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,14.0,N,-,443.0,436.0,439.0,439.3333333333333,51.2,49.0,52.1,50.76666666666667,26.6,27.55,24.72,26.6,73.1,73.61,71.94,73.1,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:39:00.000,Manana,500,False,False,True,33.33333333333333,20.0
19,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:47:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,16.0,N,-,454.0,455.0,451.0,453.3333333333333,44.7,46.3,44.0,45.0,23.12,25.17,26.45,25.17,68.66,71.3,70.35,70.35,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:47:00.000,Manana,500,False,False,True,33.33333333333333,20.0
20,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,11:55:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,9.0,N,-,458.0,454.0,455.0,455.6666666666667,62.0,59.1,59.5,60.199999999999996,21.27,22.89,25.35,22.89,60.43,59.93,56.56,59.93,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 11:55:00.000,Manana,500,False,False,True,33.33333333333333,20.0
21,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:03:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,16.0,N,-,452.0,453.0,452.0,452.3333333333333,47.3,46.0,46.6,46.63333333333333,28.19,29.44,27.01,28.19,73.95,72.38,72.67,72.67,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:03:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
22,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:15:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,12.0,N,-,440.0,443.0,441.0,441.3333333333333,42.8,43.7,43.9,43.46666666666667,17.95,20.8,18.27,18.27,56.06,56.54,54.77,56.06,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:15:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
23,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:25:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,12.0,N,-,396.0,401.0,398.0,398.3333333333333,46.8,44.9,44.9,45.53333333333333,30.65,31.09,30.46,30.65,67.24,71.68,68.54,68.54,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:25:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
24,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:27:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,10.0,N,-,396.0,395.0,393.0,394.6666666666667,51.8,49.9,50.4,50.699999999999996,22.0,20.23,22.41,22.0,61.92,62.16,65.71,62.16,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:27:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
25,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:35:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,12.0,N,-,386.0,389.0,389.0,388.0,56.0,55.0,56.7,55.9,39.3,35.26,39.65,39.3,71.48,67.72,66.7,67.72,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:35:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
26,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:49:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-61,Area de lectura,10.0,N,-,408.0,404.0,408.0,406.6666666666667,38.3,40.0,39.8,39.36666666666667,24.58,26.68,28.75,26.68,66.8,64.06,67.41,66.8,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:49:00.000,Tarde,500,False,True,True,66.66666666666666,60.00000000000001
27,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:51:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-62,Area de lectura,12.0,N,-,1195.0,72.0,88.0,451.6666666666667,46.0,44.5,50.8,47.1,25.5,62.6,9.66,25.5,68.6,69.4,71.5,69.4,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:51:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
28,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,12:55:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-63,Sala general de lectura P2,6.0,N,-,701.0,701.0,746.0,716.0,62.2,53.1,52.9,56.06666666666667,14.0,20.8,12.0,14.0,69.6,67.9,69.2,69.2,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 12:55:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
29,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,13:07:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-64,Salon Infantil,20.0,S,Evento dibujo,542.0,993.0,1764.0,1099.6666666666667,78.3,86.6,88.6,84.49999999999999,2.35,28.8,18.0,18.0,45.3,46.4,36.7,45.3,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 13:07:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
30,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,13:15:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-65,Sala de tareas,15.0,N,Persona dormida sofa,70.0,81.0,94.0,81.66666666666667,61.8,65.1,56.9,61.26666666666666,67.7,0.94,8.3,8.3,69.6,69.3,69.1,69.3,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 13:15:00.000,Tarde,500,False,False,False,0.0,0.0
31,Samsung Galaxy A26 5G ,Lux,Decibel X,Speedtest de Ookla,2026-02-14 00:00:00.000000000,13:20:00,Biblioteca Pública Virgilio Barco,Teusaquillo,Avenida Carrera 60 # 57-66,Cafeteria,8.0,N,-,526.0,506.0,421.0,484.3333333333333,71.1,67.0,71.4,69.83333333333333,4.25,9.72,9.7,9.7,126.0,126.0,120.0,126.0,Plantilla_recoleccion_Bibliotecas_Bogota_Luz_Ruido_WiFi_NAVARRO-ROA.xlsx,Hoja1,2026-04-14 13:20:00.000,Tarde,500,False,False,False,0.0,0.0
